BUILDING ADDRESS,BOROUGH,BUILDING IDENTIFICATION NUMBER,CONTROL NUMBER,EXTERIOR WALL TYPE,EXTERIOR WALL MATERIAL
942 FIFTH AVENUE,Manhattan,1041683,904957,OTHER,"MASONRY, TERRA COTTA, OTHER(Steel framed structure clad in masonry), OTHER(Limestone)"
993 LEXINGTON AVENUE,Manhattan,1042824,905074,MASONRY LOAD-BEARING WALL,"MASONRY, NATURAL STONE, TERRA COTTA"
166 EAST 63 STREET,Manhattan,1042051,905021,MASONRY CAVITY WALL,MASONRY
850 MADISON AVENUE,Manhattan,1041297,904907,MASONRY LOAD-BEARING WALL,"MASONRY, NATURAL STONE, TERRA COTTA"
993 LEXINGTON AVENUE,Manhattan,1042824,905074,MASONRY LOAD-BEARING WALL,"MASONRY, NATURAL STONE, TERRA COTTA"
181 EAST 73 STREET,Manhattan,1043046,905090,OTHER,MASONRY
233 EAST 70 STREET,Manhattan,1072227,905186,OTHER,MASONRY
252 EAST 61 STREET,Manhattan,1078348,905147,STEEL FRAME,METAL
1125 LEXINGTON AVENUE,Manhattan,1043239,905136,MASONRY LOAD-BEARING WALL,MASONRY
359 EAST 62 STREET,Manhattan,1044369,905232,OTHER,MASONRY
1445 2 AVENUE,Manhattan,1044853,905265,CONCRETE FRAME,CONCRETE
1461 FIRST AVENUE,Manhattan,1045174,905292,MASONRY CAVITY WALL,CONCRETE
350 EAST 79 STREET,Manhattan,1045256,905298,CONCRETE FRAME,CAST STONE
349 EAST 72 STREET,Manhattan,1044882,905276,CONCRETE FRAME,CONCRETE
1328 2 AVENUE,Manhattan,1044853,905265,CONCRETE FRAME,CONCRETE
1445 FIRST AVENUE,Manhattan,1045148,905288,MASONRY CAVITY WALL,CONCRETE
401 EAST 77 STREET,Manhattan,1045978,905356,MASONRY CAVITY WALL,MASONRY
404 EAST 66 STREET,Manhattan,1083271,905319,MASONRY CAVITY WALL,MASONRY
404 EAST 66 STREET,Manhattan,1072689,905363,MASONRY CAVITY WALL,MASONRY
1478 FIRST AVENUE,Manhattan,1045974,905357,MASONRY CAVITY WALL,MASONRY
444 EAST 66 STREET,Manhattan,1046026,905361,MASONRY CAVITY WALL,CAST STONE
1094 MADISON AVENUE,Manhattan,1046749,905438,OTHER,CAST STONE
1060 PARK AVENUE,Manhattan,1046918,905487,OTHER,MASONRY
1088 PARK AVENUE,Manhattan,1046956,905499,MASONRY LOAD-BEARING WALL,MASONRY
530 EAST 76 STREET,Manhattan,1072696,905406,CONCRETE FRAME,GLASS
920 PARK AVENUE,Manhattan,1046627,905424,MASONRY CAVITY WALL,MASONRY
1107 FIFTH AVENUE,Manhattan,1047045,905521,OTHER,MASONRY
1148 FIFTH AVENUE,Manhattan,1047439,905551,OTHER,MASONRY
1227 MADISON AVENUE,Manhattan,1046958,905501,OTHER,MASONRY
60 EAST 96 STREET,Manhattan,1047434,905547,OTHER,MASONRY
1148 FIFTH AVENUE,Manhattan,1047439,905560,MASONRY CAVITY WALL,CONCRETE
145 EAST 81 STREET,Manhattan,1047561,905576,MASONRY CAVITY WALL,MASONRY
111 EAST 85 STREET,Manhattan,1047928,905615,CONCRETE FRAME,CONCRETE
128 EAST 85 STREET,Manhattan,1047693,905609,MASONRY LOAD-BEARING WALL,MASONRY
162 EAST 80 STREET,Manhattan,1047485,905561,MASONRY CAVITY WALL,MASONRY
146 EAST 85 STREET,Manhattan,1047689,905608,MASONRY CAVITY WALL,MASONRY
228 EAST 85 STREET,Manhattan,1048745,905734,MASONRY CAVITY WALL,MASONRY
200 EAST 82 STREET,Manhattan,1048579,905724,MASONRY CAVITY WALL,"GLASS,MASONRY,OTHER"
169 EAST 91 STREET,Manhattan,1048306,905668,MASONRY CAVITY WALL,"CONCRETE,MASONRY"
245 EAST 84 STREET,Manhattan,1073220,905733,MASONRY CAVITY WALL,MASONRY
1111 PARK AVENUE,Manhattan,1048136,905653,MASONRY LOAD-BEARING WALL,"MASONRY,TERRA COTTA"
1533 FIRST AVENUE,Manhattan,1076841,905776,OTHER,OTHER
225 EAST 85 STREET,Manhattan,1048779,905738,MASONRY CAVITY WALL,CONCRETE
1659 SECOND AVENUE,Manhattan,1048799,905744,MASONRY CAVITY WALL,CONCRETE
241 EAST 86 STREET,Manhattan,1076327,905743,MASONRY CAVITY WALL,MASONRY
300 EAST 85 STREET,Manhattan,1078565,905785,MASONRY CAVITY WALL,CONCRETE
305 East 86th Street,Manhattan,1050025,905790,MASONRY CAVITY WALL,OTHER
315 East 85th Street,Manhattan,1049992,905786,MASONRY CAVITY WALL,MASONRY
1743 First Avenue,Manhattan,1050185,905801,MASONRY CAVITY WALL,MASONRY LOAD-BEARING WALL
317 East 85th Street,Manhattan,1049993,905787,MASONRY CAVITY WALL,MASONRY
312 East 92nd Street,Manhattan,1085239,905802,OTHER,OTHER
305 East 86th Street,Manhattan,1050025,905790,MASONRY CAVITY WALL,OTHER
2 EAST END AVENUE,Manhattan,1050767,905869,OTHER,MASONRY
434 EAST 84 STREET,Manhattan,1050471,905829,OTHER,MASONRY
440 EAST 88 STREET,Manhattan,1050596,905842,MASONRY LOAD-BEARING WALL,MASONRY
423 EAST 90 STREET,Manhattan,1050731,905852,MASONRY CAVITY WALL,MASONRY
1514 YORK AVENUE,Manhattan,1050869,905865,OTHER,MASONRY
52 EAST END AVENUE,Manhattan,1074035,TR6-905878-9B-I1,MASONRY CAVITY WALL,MASONRY
1596 YORK AVENUE,Manhattan,1051230,TR6-905885-9C-I1,MASONRY CAVITY WALL,MASONRY
516 EAST 86 STREET,Manhattan,1051250,TR6-905892-9C-I1,MASONRY CAVITY WALL,MASONRY
60 EAST END AVENUE,Manhattan,1051164,TR6-905880-9A-I6,MASONRY CAVITY WALL,"MASONRY, NATURAL STONE"
511 EAST 80 STREET,Manhattan,1050870,TR6-905870-9B-I1,MASONRY CAVITY WALL,"CONCRETE, MASONRY"
603 EAST 82 STREET,Manhattan,1051381,905908,MASONRY LOAD-BEARING WALL,"MASONRY, NATURAL STONE"
467 CENTRAL PARK WEST,Manhattan,1075198,906327,OTHER,"MASONRY, Terra Cotta, Limestone, Mass Masonry"
1212 FIFTH AVENUE,Manhattan,1051490,905966,MASONRY LOAD-BEARING WALL,"MASONRY, TERRA COTTA"
784 COLUMBUS AVENUE,Manhattan,1089696,906352,MASONRY LOAD-BEARING WALL,"CONCRETE, MASONRY"
467 CENTRAL PARK WEST,Manhattan,3,905913,MASONRY LOAD-BEARING WALL,"MASONRY, NATURAL STONE, TERRA COTTA"
1 GRACIE SQUARE,Manhattan,1590,905908,MASONRY LOAD-BEARING WALL,"MASONRY, NATURAL STONE"
404 RIVERSIDE DRIVE,Manhattan,1057344,906645,MASONRY LOAD-BEARING WALL,"MASONRY, NATURAL STONE, TERRA COTTA"
400 RIVERSIDE DRIVE,Manhattan,1057333,906640,MASONRY LOAD-BEARING WALL,MASONRY
340 RIVERSIDE DRIVE,Manhattan,1057257,906615,MASONRY LOAD-BEARING WALL,"MASONRY, NATURAL STONE, TERRA COTTA"
790 COLUMBUS AVENUE,Manhattan,1055902,906353,MASONRY LOAD-BEARING WALL,"CONCRETE, MASONRY"
792 COLUMBUS AVENUE,Manhattan,1055905,906354,OTHER,"CONCRETE, OTHER - Solid Masonry Wall, Brick Masonry"
3671 BROADWAY,Manhattan,1062457,907054,MASONRY LOAD-BEARING WALL,"CAST STONE, MASONRY, NATURAL STONE, TERRA COTTA"
100 RIVERSIDE DRIVE WEST,Manhattan,1064452,907314,OTHER,MASONRY
775 RIVERSIDE DRIVE,Manhattan,1063277,907119,MASONRY LOAD-BEARING WALL,"MASONRY, TERRA COTTA"
156-08 RIVERSIDE DRIVE WEST,Manhattan,1063279,907121,MASONRY LOAD-BEARING WALL,"MASONRY, TERRA COTTA"
250 RIVERSIDE DRIVE,Manhattan,1064379,907293,OTHER,MASONRY
156-08 RIVERSIDE DRIVE WEST,Manhattan,1063279,907293,OTHER,MASONRY
775 RIVERSIDE DRIVE,Manhattan,1063277,907293,MASONRY LOAD-BEARING WALL,"MASONRY, TERRA COTTA"
100 OVERLOOK TERRACE,Manhattan,1064452,907121,OTHER,MASONRY
630 WEST 246 STREET,Bronx,2094979,908935,OTHER,MASONRY
3965 SEDGWICK AVENUE,Bronx,2095200,908092,MASONRY CAVITY WALL,CONCRETE
80 VAN CORTLANDT PARK SOUTH,Bronx,2015473,908095,MASONRY LOAD-BEARING WALL,MASONRY
1480 POPHAM AVENUE,Bronx,2008874,907869,OTHER,MASONRY
349 EAST 149 STREET,Bronx,2000933,907483,MASONRY LOAD-BEARING WALL,MASONRY
37 BRIDGE STREET,Brooklyn,3329412,909107,CONCRETE FRAME,CONCRETE
101 CLARK STREET,Brooklyn,3001727,909091,MASONRY LOAD-BEARING WALL,CONCRETE
47 PLAZA STREET,Brooklyn,3024627,909233,MASONRY LOAD-BEARING WALL,"MASONRY,NATURAL STONE,TERRA COTTA"
29 TIFFANY PLACE,Brooklyn,3345585,909165,OTHER,"MASONRY,NATURAL STONE,STUCCO/EIFS,Brick Masonry, Cast Stone & Stucco"
96 SCHERMERHORN STREET,Brooklyn,3002707,909159,CONCRETE FRAME,"MASONRY,MASONRY LOAD-BEARING WALL,NATURAL STONE"
68 MONTAGUE STREET,Brooklyn,3002035,909124,MASONRY LOAD-BEARING WALL,"MASONRY,TERRA COTTA"
75 LIVINGSTON STREET,Brooklyn,3002543,909145,MASONRY LOAD-BEARING WALL,"CAST IRON,MASONRY,TERRA COTTA"
201 CLINTON AVENUE,Brooklyn,3322379,909451,MASONRY LOAD-BEARING WALL,MASONRY
193 CLINTON AVENUE,Brooklyn,3322379,909449,MASONRY LOAD-BEARING WALL,MASONRY
209 CLINTON AVENUE,Brooklyn,3322382,909450,MASONRY LOAD-BEARING WALL,MASONRY
185 CLINTON AVENUE,Brooklyn,3322380,909448,MASONRY LOAD-BEARING WALL,MASONRY
210 CLINTON AVENUE,Brooklyn,3054782,909447,MASONRY LOAD-BEARING WALL,MASONRY
355 CLINTON AVENUE,Brooklyn,3321875,909471,MASONRY LOAD-BEARING WALL,MASONRY
345 CLINTON AVENUE,Brooklyn,3321875,909470,MASONRY LOAD-BEARING WALL,MASONRY
361 CLINTON AVENUE,Brooklyn,3321876,909458,MASONRY LOAD-BEARING WALL,MASONRY
325 CLINTON AVENUE,Brooklyn,3055311,909459,MASONRY LOAD-BEARING WALL,MASONRY
355 CLINTON AVENUE,Brooklyn,3321876,909469,MASONRY LOAD-BEARING WALL,MASONRY
165 CLINTON AVENUE,Brooklyn,3054797,909452,MASONRY LOAD-BEARING WALL,MASONRY
325 CLINTON AVENUE,Brooklyn,3055311,909468,MASONRY LOAD-BEARING WALL,MASONRY
1740 OCEAN AVENUE,Brooklyn,3180726,910145-9A-I1,MASONRY CAVITY WALL,MASONRY
365 CLINTON AVENUE,Queens,3321876,909472-9A-I1,MASONRY LOAD-BEARING WALL,MASONRY
2629 CROPSEY AVENUE,Brooklyn,3187125,910169-9C-I1,MASONRY CAVITY WALL,MASONRY
385 FLATBUSH AVENUE EXTENSION,Brooklyn,3338887,909551-9A-I4,MASONRY LOAD-BEARING WALL,MASONRY
98-01 67 AVENUE,Queens,4074627,911140-9A-I2,MASONRY CAVITY WALL,CONCRETE
139-21 86 AVENUE,Queens,4207692,911585,MASONRY LOAD-BEARING WALL,MASONRY
108-18 QUEENS BOULEVARD,Queens,4077993,911180,CURTAIN WALL,"GLASS, MASONRY"
98-05 67 AVENUE,Queens,4074666,911143,MASONRY CAVITY WALL,"CONCRETE, MASONRY"
70-25 YELLOWSTONE BOULEVARD,Queens,4433878,911175,MASONRY CAVITY WALL,"CONCRETE, MASONRY"
118-17 UNION TURNPIKE,Queens,4079634,911205,MASONRY CAVITY WALL,MASONRY
WEST 54 STREET,Manhattan,1025409,912287,OTHER,MASONRY
EAST 82 STREET,Manhattan,1087342,912278,OTHER,MASONRY
EAST 90 STREET,Manhattan,1046983,912402,OTHER,MASONRY
ST MARKS PLACE,Manhattan,1006754,912056,OTHER,MASONRY
WARREN STREET,Manhattan,1001443,912592,MASONRY LOAD-BEARING WALL,CAST IRON
211 EAST 73 STREET,Manhattan,1043988,912727,MASONRY CAVITY WALL,MASONRY
400 EAST 90 STREET,Manhattan,1087460,912680,MASONRY CAVITY WALL,MASONRY
334 EAST 74 STREET,Manhattan,1072674,912757,OTHER,OTHER
317 EAST 91 STREET,Manhattan,1050214,912754,OTHER,OTHER
300 EAST 64 STREET,Manhattan,1044388,912923,MASONRY CAVITY WALL,"CAST STONE, MASONRY"
155 EAST 55 STREET,Manhattan,1036515,912954,MASONRY CAVITY WALL,"CONCRETE, MASONRY"
205 CLINTON AVENUE,Brooklyn,3322379,912957,MASONRY LOAD-BEARING WALL,MASONRY
125 EAST 85 STREET,Manhattan,1047930,912775,MASONRY CAVITY WALL,MASONRY
60 EAST 55 STREET,Manhattan,1087101,913520,OTHER,OTHER
1600 BROADWAY,Manhattan,1087187,913464,OTHER,CONCRETE
436 EAST 83 STREET,Manhattan,1087459,913517,OTHER,GLASS
199 BOWERY,Manhattan,1087253,913429,OTHER,OTHER
23 EAST 4 STREET,Manhattan,1080086,913425,MASONRY LOAD-BEARING WALL,MASONRY
436 EAST 83 STREET,Manhattan,1087459,913425,OTHER,OTHER
545 WEST 25 STREET,Manhattan,1087496,913533,OTHER,OTHER
1930 BROADWAY,Manhattan,1086193,913546,MASONRY CAVITY WALL,MASONRY
55 WEST 26 STREET,Manhattan,1015632,913568,CURTAIN WALL,GLASS
47 EAST 91 STREET,Manhattan,1047046,913644,OTHER,GLASS
425 5 AVENUE,Manhattan,1085975,913588,MASONRY CAVITY WALL,MASONRY
1400 5 AVENUE,Manhattan,1086518,913645,OTHER,OTHER
120 RIVERSIDE BOULEVARD,Manhattan,1086247,913678,OTHER,OTHER
389 EAST 89 STREET,Manhattan,1050118,913690,CONCRETE FRAME,OTHER
408 EAST 92 STREET,Manhattan,1086205,913691,OTHER,CAST STONE
1400 5 AVENUE,Manhattan,1086518,913661,OTHER,OTHER
389 EAST 89 STREET,Manhattan,1050118,913645,CONCRETE FRAME,OTHER
120 RIVERSIDE BOULEVARD,Manhattan,1086247,913678,OTHER,OTHER
408 EAST 92 STREET,Manhattan,1086205,913691,OTHER,CAST STONE
500 4 AVENUE,Brooklyn,3397588,913824,OTHER,"CONCRETE, SHEET METAL, OTHER"
132 WEST 112 STREET,Manhattan,1087384,914013,OTHER,OTHER
301 EAST 29 STREET,Manhattan,1081677,913903,OTHER,MASONRY
88 LEONARD STREET,Manhattan,1087082,913957,OTHER,"CONCRETE, MASONRY CAVITY WALL, GLASS, MASONRY, METAL"
3 EAST 115 STREET,Manhattan,1089048,914057-9B-I1,MASONRY CAVITY WALL,MASONRY
457 ATLANTIC AVENUE,Brooklyn,3392991,914161-9A-I1,OTHER,MASONRY
26 BROADWAY,Manhattan,3424338,914123-9C-I1,MASONRY CAVITY WALL,MASONRY
150 WEST 111 STREET,Manhattan,1087793,914188-9A-I1,MASONRY CAVITY WALL,MASONRY
259 EAST 7 STREET,Manhattan,1087666,914088-9B-I1,CONCRETE FRAME,OTHER
350 WEST BROADWAY,Manhattan,1088502,914308,CURTAIN WALL,GLASS
31-18 UNION STREET,Queens,4537230,914559,MASONRY CAVITY WALL,CAST STONE
841 9 AVENUE,Manhattan,1026846,914485,OTHER,GLASS
34 NORTH 7 STREET,Brooklyn,3397391,914474,OTHER,CONCRETE
344 EAST 85 STREET,Manhattan,1049970,914681,MASONRY CAVITY WALL,MASONRY
1405 5 AVENUE,Manhattan,1088766,914686,MASONRY CAVITY WALL,MASONRY
6 EAST 116 STREET,Manhattan,1089049,914687,MASONRY CAVITY WALL,"CAST STONE,MASONRY"
344 EAST 110 STREET,Manhattan,1088006,914693,CONCRETE FRAME,STUCCO/EIFS
150 MYRTLE AVENUE,Brooklyn,3394020,914713,CURTAIN WALL,"GFRC,STUCCO/EIFS"
150 MYRTLE AVENUE,BROOKLYN,3394020,914713,CURTAIN WALL,"GFRC,STUCCO/EIFS"
311 EAST 11 STREET,Manhattan,1088706,914802,MASONRY CAVITY WALL,"CONCRETE,MASONRY,NATURAL STONE"
2300 FREDERICK DOUGLAS BOULEVARD,Manhattan,1090411,916003,OTHER,"CAST STONE,CURTAIN WALL,OTHER"
320 WEST 38 STREET,Manhattan,1087840,914729,CONCRETE FRAME,"CAST STONE,MASONRY CAVITY WALL,CONCRETE,MASONRY,NATURAL STONE"
249 EAST 60 STREET,Manhattan,1078347,914890,STEEL FRAME,"MASONRY,METAL"
311 EAST 11 STREET,Manhattan,1088706,914802,MASONRY CAVITY WALL,"CONCRETE,MASONRY,NATURAL STONE"
2300 FREDERICK DOUGLAS BOULEVARD,Manhattan,1090411,916003,OTHER,"CAST STONE,CURTAIN WALL,OTHER"
320 WEST 38 STREET,Manhattan,1087840,914729,CONCRETE FRAME,"CAST STONE,MASONRY CAVITY WALL,CONCRETE,MASONRY,NATURAL STONE"
249 EAST 60 STREET,Manhattan,1078347,914890,STEEL FRAME,"MASONRY,METAL"
517 WEST 46 STREET,Manhattan,1087677,916009,OTHER,OTHER
1280 5 AVENUE,Manhattan,1089046,916414,CURTAIN WALL,CONCRETE
330 WEST 39 STREET,Manhattan,1088826,916543,MASONRY CAVITY WALL,CONCRETE
225 SCHERMERHORN STREET,Brooklyn,3397443,916491,CONCRETE FRAME,CONCRETE
150 FOURTH AVENUE,Brooklyn,3397905,916450,MASONRY CAVITY WALL,CONCRETE
165 FOURTH AVENUE,Brooklyn,3397443,916492,OTHER,Panels &Stucco
123 THIRD AVENUE,Manhattan,1088500,916631-9A-I1,CONCRETE FRAME,"CONCRETE, OTHER, Exterior Metal Panels"
200 EAST 79 STREET,Manhattan,1088595,916765-9C-I1,OTHER,"OTHER, Pre-cast concrete panels, Per-cast concrete and aluminum cladding"
300 EAST 23 STREET,Manhattan,1088559,916544-9B-I1,OTHER,"MASONRY, METAL, STUCCO/EIFS"
3692 BEDFORD AVENUE,Brooklyn,3396874,916628-9C-I1,MASONRY CAVITY WALL,"MASONRY, STUCCO/EIFS"
123 THIRD AVENUE,Manhattan,1088500,916631-9A-I1,CONCRETE FRAME,"CONCRETE, OTHER, Exterior Metal Panels"
50 UNITED NATIONS PLAZA,Manhattan,1089803,916979-9A-I1,CURTAIN WALL,GLASS
61 GRAND STREET,Manhattan,1089842,917367,OTHER,"GLASS, CURTAIN WALL, SHEET METAL, OTHER"
290 WEST STREET,Manhattan,1089819,917359,CONCRETE FRAME,"GLASS, METAL, STUCCO/EIFS"
58 WEST 129 STREET,Manhattan,1089720,917276,MASONRY CAVITY WALL,"CONCRETE, MASONRY"
150 CHARLES STREET,Manhattan,1089743,917347,CURTAIN WALL,"CONCRETE, GLASS, MASONRY, METAL"
58 WEST 129 STREET,Manhattan,1089720,917337,MASONRY CAVITY WALL,"MASONRY, STUCCO/EIFS"
290 WEST STREET,Manhattan,1089819,917359,CONCRETE FRAME,"GLASS, METAL, STUCCO/EIFS"
245 WEST 14 STREET,Manhattan,1088525,917276,MASONRY CAVITY WALL,"CONCRETE, MASONRY"
150 CHARLES STREET,Manhattan,1089743,917347,CURTAIN WALL,"CONCRETE, GLASS, MASONRY, METAL"
58 WEST 129 STREET,Manhattan,1089720,917337,MASONRY CAVITY WALL,"MASONRY, STUCCO/EIFS"
245 WEST 14 STREET,Manhattan,1088525,917276,MASONRY CAVITY WALL,"CONCRETE, MASONRY"
100 NORFOLK STREET,Manhattan,1090469,917483,CURTAIN WALL,"GLASS, STUCCO/EIFS"
1063 2 AVENUE,Manhattan,1090233,917434,CURTAIN WALL,"GLASS, METAL"
169 10 AVENUE,Manhattan,1090199,917417,OTHER,"CONCRETE FRAME, DECORATIVE CONCRETE PANELS"
559 WEST 23 STREET,Manhattan,1090389,917460,OTHER,"RAINSCREEN CLADDING & EIFS, RAINSCREEN CLADDING INTERGRATED WITH GLASS CURTAIN WALL & EIFS"
98 AVENUE A,Manhattan,1090420,917469,MASONRY CAVITY WALL,"MASONRY, SHEET METAL, STUCCO/EIFS"
144 NORTH 8 STREET,Brooklyn,3061917,918306,OTHER,OTHER
345 LENOX ROAD,Queens,3425796,918020,OTHER,OTHER
531 VANDERBILT AVENUE,Brooklyn,3418119,917869,MASONRY CAVITY WALL,MASONRY
106-20 70 AVENUE,Queens,4439623,918131,OTHER,MASONRY
25-21 43 AVENUE,Queens,4617481,918212,MASONRY CAVITY WALL,MASONRY
239 5 AVENUE,Manhattan,1016884,918520,OTHER,OTHER
211 EAST 13 STREET,Manhattan,1089710,918558,MASONRY CAVITY WALL,MASONRY
508 WEST 24 STREET,Manhattan,1089697,918555,CONCRETE FRAME,CONCRETE
325 LEXINGTON AVENUE,Manhattan,1088713,918402,CURTAIN WALL,CONCRETE
224 MULBERRY STREET,Manhattan,1007485,918516,MASONRY CAVITY WALL,CAST STONE
52 LAIGHT STREET,Manhattan,1089331,919016,MASONRY CAVITY WALL,MASONRY
530 WEST 25 STREET,Manhattan,1080311,919020,MASONRY LOAD-BEARING WALL,MASONRY
530 West 25th Street,Manhattan,1080311,919020,MASONRY LOAD-BEARING WALL,MASONRY
261 WEST 36TH STREET,Manhattan,1083626,919098,OTHER,MASONRY
